,PAHO Sub-Region,ISO-3,Country / territory,IFRC Sub-Region,Population,Tracker Update Date,Data Publication Date,EPI Week (year),EPI Week (outbreak),Cases
Suspected,Latin Caribbean,MTQ,Martinique,Americas,392291,20th April 2016,14th April 2016,15,30,16650
Confirmed,North America,MEX,Mexico,Americas,125385833,20th April 2016,14th April 2016,15,30,222
Deaths,North America,MEX,Mexico,Americas,125385833,20th April 2016,14th April 2016,15,30,0
Suspected,North America,MEX,Mexico,Americas,125385833,20th April 2016,14th April 2016,15,30,0
Confirmed,Central America,NIC,Nicaragua,Americas,6013913,20th April 2016,14th April 2016,15,30,135
Deaths,Central America,NIC,Nicaragua,Americas,6013913,20th April 2016,14th April 2016,15,30,0
Suspected,Central America,NIC,Nicaragua,Americas,6013913,20th April 2016,14th April 2016,15,30,0
Confirmed,Central America,PAN,Panama,Americas,3867535,20th April 2016,14th April 2016,15,30,220
Deaths,Central America,PAN,Panama,Americas,3867535,20th April 2016,14th April 2016,15,30,0
Suspected,Central America,PAN,Panama,Americas,3867535,20th April 2016,14th April 2016,15,30,0
Confirmed,South Cone,PRY,Paraguay,Americas,6552518,20th April 2016,14th April 2016,15,30,7
Deaths,South Cone,PRY,Paraguay,Americas,6552518,20th April 2016,14th April 2016,15,30,0
Suspected,South Cone,PRY,Paraguay,Americas,6552518,20th April 2016,14th April 2016,15,30,0
Confirmed,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,20th April 2016,14th April 2016,15,30,436
Deaths,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,20th April 2016,14th April 2016,15,30,0
Suspected,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,20th April 2016,14th April 2016,15,30,0
Confirmed,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,20th April 2016,14th April 2016,15,30,2
Deaths,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,20th April 2016,14th April 2016,15,30,0
Suspected,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,20th April 2016,14th April 2016,15,30,0
Confirmed,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,20th April 2016,14th April 2016,15,30,1
Deaths,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,20th April 2016,14th April 2016,15,30,0
Suspected,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,20th April 2016,14th April 2016,15,30,0
Confirmed,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,20th April 2016,14th April 2016,15,30,42
Deaths,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,20th April 2016,14th April 2016,15,30,0
Suspected,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,20th April 2016,14th April 2016,15,30,160
Confirmed,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,20th April 2016,14th April 2016,15,30,2
Deaths,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,20th April 2016,14th April 2016,15,30,0
Suspected,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,20th April 2016,14th April 2016,15,30,0
Confirmed,Non Latin Caribbean,SUR,Suriname,Americas,538248,20th April 2016,14th April 2016,15,30,485
Deaths,Non Latin Caribbean,SUR,Suriname,Americas,538248,20th April 2016,14th April 2016,15,30,4
Suspected,Non Latin Caribbean,SUR,Suriname,Americas,538248,20th April 2016,14th April 2016,15,30,3440
Confirmed,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,20th April 2016,14th April 2016,15,30,13
Deaths,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,20th April 2016,14th April 2016,15,30,0
Suspected,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,20th April 2016,14th April 2016,15,30,0
Confirmed,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,20th April 2016,14th April 2016,15,30,14
Deaths,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,20th April 2016,14th April 2016,15,30,0
Suspected,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,20th April 2016,14th April 2016,15,30,54
Confirmed,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,20th April 2016,14th April 2016,15,30,352
Deaths,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,20th April 2016,14th April 2016,15,30,1
Suspected,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,20th April 2016,14th April 2016,15,30,15495
Confirmed,Non Latin Caribbean,ABW,Aruba,Americas,103441,26th April 2016,21st April 2016,16,31,17
Deaths,Non Latin Caribbean,ABW,Aruba,Americas,103441,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,ABW,Aruba,Americas,103441,26th April 2016,21st April 2016,16,31,0
Confirmed,Non Latin Caribbean,BRB,Barbados,Americas,283380,26th April 2016,21st April 2016,16,31,7
Deaths,Non Latin Caribbean,BRB,Barbados,Americas,283380,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,BRB,Barbados,Americas,283380,26th April 2016,21st April 2016,16,31,316
Confirmed,Central America,BLZ,Belize,Americas,351706,26th April 2016,21st April 2016,16,31,1
Deaths,Central America,BLZ,Belize,Americas,351706,26th April 2016,21st April 2016,16,31,0
Suspected,Central America,BLZ,Belize,Americas,351706,26th April 2016,21st April 2016,16,31,0
Confirmed,Andean,BOL,Bolivia,Americas,10561887,26th April 2016,21st April 2016,16,31,12
Deaths,Andean,BOL,Bolivia,Americas,10561887,26th April 2016,21st April 2016,16,31,0
Suspected,Andean,BOL,Bolivia,Americas,10561887,26th April 2016,21st April 2016,16,31,0
Confirmed,Non Latin Caribbean,BES,Bonaire,Americas,17408,26th April 2016,21st April 2016,16,31,3
Deaths,Non Latin Caribbean,BES,Bonaire,Americas,17408,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,BES,Bonaire,Americas,17408,26th April 2016,21st April 2016,16,31,0
Confirmed,South Cone,BRA,Brazil,Americas,206077898,26th April 2016,21st April 2016,16,31,1034
Deaths,South Cone,BRA,Brazil,Americas,206077898,26th April 2016,21st April 2016,16,31,3
Suspected,South Cone,BRA,Brazil,Americas,206077898,26th April 2016,21st April 2016,16,31,70611
Confirmed,Andean,COL,Colombia,Americas,47791393,26th April 2016,21st April 2016,16,31,3292
Deaths,Andean,COL,Colombia,Americas,47791393,26th April 2016,21st April 2016,16,31,0
Suspected,Andean,COL,Colombia,Americas,47791393,26th April 2016,21st April 2016,16,31,65338
Confirmed,Central America,CRI,Costa Rica,Americas,4757606,26th April 2016,21st April 2016,16,31,8
Deaths,Central America,CRI,Costa Rica,Americas,4757606,26th April 2016,21st April 2016,16,31,0
Suspected,Central America,CRI,Costa Rica,Americas,4757606,26th April 2016,21st April 2016,16,31,0
Confirmed,Latin Caribbean,CUB,Cuba,Americas,11379111,26th April 2016,21st April 2016,16,31,1
Deaths,Latin Caribbean,CUB,Cuba,Americas,11379111,26th April 2016,21st April 2016,16,31,0
Suspected,Latin Caribbean,CUB,Cuba,Americas,11379111,26th April 2016,21st April 2016,16,31,0
Confirmed,Non Latin Caribbean,CUW,Curaçao,Americas,155872,26th April 2016,21st April 2016,16,31,73
Deaths,Non Latin Caribbean,CUW,Curaçao,Americas,155872,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,CUW,Curaçao,Americas,155872,26th April 2016,21st April 2016,16,31,0
Confirmed,Non Latin Caribbean,DMA,Dominica,Americas,72341,26th April 2016,21st April 2016,16,31,5
Deaths,Non Latin Caribbean,DMA,Dominica,Americas,72341,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,DMA,Dominica,Americas,72341,26th April 2016,21st April 2016,16,31,37
Confirmed,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,26th April 2016,21st April 2016,16,31,56
Deaths,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,26th April 2016,21st April 2016,16,31,1
Suspected,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,26th April 2016,21st April 2016,16,31,1249
Confirmed,Andean,ECU,Ecuador,Americas,15902916,26th April 2016,21st April 2016,16,31,92
Deaths,Andean,ECU,Ecuador,Americas,15902916,26th April 2016,21st April 2016,16,31,0
Suspected,Andean,ECU,Ecuador,Americas,15902916,26th April 2016,21st April 2016,16,31,140
Confirmed,Central America,SLV,El Salvador,Americas,6107706,26th April 2016,21st April 2016,16,31,43
Deaths,Central America,SLV,El Salvador,Americas,6107706,26th April 2016,21st April 2016,16,31,0
Suspected,Central America,SLV,El Salvador,Americas,6107706,26th April 2016,21st April 2016,16,31,11078
Confirmed,Latin Caribbean,GUF,French Guiana,Americas,237549,26th April 2016,21st April 2016,16,31,411
Deaths,Latin Caribbean,GUF,French Guiana,Americas,237549,26th April 2016,21st April 2016,16,31,0
Suspected,Latin Caribbean,GUF,French Guiana,Americas,237549,26th April 2016,21st April 2016,16,31,1249
Confirmed,Latin Caribbean,GLP,Guadeloupe,Americas,404635,26th April 2016,21st April 2016,16,31,239
Deaths,Latin Caribbean,GLP,Guadeloupe,Americas,404635,26th April 2016,21st April 2016,16,31,0
Suspected,Latin Caribbean,GLP,Guadeloupe,Americas,404635,26th April 2016,21st April 2016,16,31,1335
Confirmed,Central America,GTM,Guatemala,Americas,16015494,26th April 2016,21st April 2016,16,31,261
Deaths,Central America,GTM,Guatemala,Americas,16015494,26th April 2016,21st April 2016,16,31,0
Suspected,Central America,GTM,Guatemala,Americas,16015494,26th April 2016,21st April 2016,16,31,915
Confirmed,Non Latin Caribbean,GUY,Guyana,Americas,763893,26th April 2016,21st April 2016,16,31,6
Deaths,Non Latin Caribbean,GUY,Guyana,Americas,763893,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,GUY,Guyana,Americas,763893,26th April 2016,21st April 2016,16,31,0
Confirmed,Latin Caribbean,HTI,Haiti,Americas,10572029,26th April 2016,21st April 2016,16,31,5
Deaths,Latin Caribbean,HTI,Haiti,Americas,10572029,26th April 2016,21st April 2016,16,31,0
Suspected,Latin Caribbean,HTI,Haiti,Americas,10572029,26th April 2016,21st April 2016,16,31,1777
Confirmed,Central America,HND,Honduras,Americas,7961680,26th April 2016,21st April 2016,16,31,2
Deaths,Central America,HND,Honduras,Americas,7961680,26th April 2016,21st April 2016,16,31,0
Suspected,Central America,HND,Honduras,Americas,7961680,26th April 2016,21st April 2016,16,31,18096
Confirmed,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,26th April 2016,21st April 2016,16,31,1
Deaths,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,26th April 2016,21st April 2016,16,31,0
Confirmed,Latin Caribbean,MTQ,Martinique,Americas,392291,26th April 2016,21st April 2016,16,31,12
Deaths,Latin Caribbean,MTQ,Martinique,Americas,392291,26th April 2016,21st April 2016,16,31,0
Suspected,Latin Caribbean,MTQ,Martinique,Americas,392291,26th April 2016,21st April 2016,16,31,17990
Confirmed,North America,MEX,Mexico,Americas,125385833,26th April 2016,21st April 2016,16,31,239
Deaths,North America,MEX,Mexico,Americas,125385833,26th April 2016,21st April 2016,16,31,0
Suspected,North America,MEX,Mexico,Americas,125385833,26th April 2016,21st April 2016,16,31,0
Confirmed,Central America,NIC,Nicaragua,Americas,6013913,26th April 2016,21st April 2016,16,31,139
Deaths,Central America,NIC,Nicaragua,Americas,6013913,26th April 2016,21st April 2016,16,31,0
Suspected,Central America,NIC,Nicaragua,Americas,6013913,26th April 2016,21st April 2016,16,31,0
Confirmed,Central America,PAN,Panama,Americas,3867535,26th April 2016,21st April 2016,16,31,220
Deaths,Central America,PAN,Panama,Americas,3867535,26th April 2016,21st April 2016,16,31,0
Suspected,Central America,PAN,Panama,Americas,3867535,26th April 2016,21st April 2016,16,31,0
Confirmed,South Cone,PRY,Paraguay,Americas,6552518,26th April 2016,21st April 2016,16,31,7
Deaths,South Cone,PRY,Paraguay,Americas,6552518,26th April 2016,21st April 2016,16,31,0
Suspected,South Cone,PRY,Paraguay,Americas,6552518,26th April 2016,21st April 2016,16,31,0
Confirmed,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,26th April 2016,21st April 2016,16,31,550
Deaths,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,26th April 2016,21st April 2016,16,31,0
Suspected,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,26th April 2016,21st April 2016,16,31,0
Confirmed,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,26th April 2016,21st April 2016,16,31,2
Deaths,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,26th April 2016,21st April 2016,16,31,0
Confirmed,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,26th April 2016,21st April 2016,16,31,1
Deaths,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,26th April 2016,21st April 2016,16,31,0
Confirmed,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,26th April 2016,21st April 2016,16,31,43
Deaths,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,26th April 2016,21st April 2016,16,31,0
Suspected,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,26th April 2016,21st April 2016,16,31,175
Confirmed,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,26th April 2016,21st April 2016,16,31,7
Deaths,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,26th April 2016,21st April 2016,16,31,0
Confirmed,Non Latin Caribbean,SUR,Suriname,Americas,538248,26th April 2016,21st April 2016,16,31,527
Deaths,Non Latin Caribbean,SUR,Suriname,Americas,538248,26th April 2016,21st April 2016,16,31,4
Suspected,Non Latin Caribbean,SUR,Suriname,Americas,538248,26th April 2016,21st April 2016,16,31,3490
Confirmed,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,26th April 2016,21st April 2016,16,31,16
Deaths,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,26th April 2016,21st April 2016,16,31,0
Confirmed,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,26th April 2016,21st April 2016,16,31,14
Deaths,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,26th April 2016,21st April 2016,16,31,0
Suspected,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,26th April 2016,21st April 2016,16,31,68
Confirmed,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,26th April 2016,21st April 2016,16,31,352
Deaths,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,26th April 2016,21st April 2016,16,31,1
Suspected,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,26th April 2016,21st April 2016,16,31,31224
Confirmed,Non Latin Caribbean,ABW,Aruba,Americas,103441,3rd May 2016,28th April 2016,17,32,17
Deaths,Non Latin Caribbean,ABW,Aruba,Americas,103441,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,ABW,Aruba,Americas,103441,3rd May 2016,28th April 2016,17,32,0
Confirmed,Non Latin Caribbean,BRB,Barbados,Americas,283380,3rd May 2016,28th April 2016,17,32,7
Deaths,Non Latin Caribbean,BRB,Barbados,Americas,283380,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,BRB,Barbados,Americas,283380,3rd May 2016,28th April 2016,17,32,316
Confirmed,Central America,BLZ,Belize,Americas,351706,3rd May 2016,28th April 2016,17,32,1
Deaths,Central America,BLZ,Belize,Americas,351706,3rd May 2016,28th April 2016,17,32,0
Suspected,Central America,BLZ,Belize,Americas,351706,3rd May 2016,28th April 2016,17,32,0
Confirmed,Andean,BOL,Bolivia,Americas,10561887,3rd May 2016,28th April 2016,17,32,12
Deaths,Andean,BOL,Bolivia,Americas,10561887,3rd May 2016,28th April 2016,17,32,0
Suspected,Andean,BOL,Bolivia,Americas,10561887,3rd May 2016,28th April 2016,17,32,0
Confirmed,Non Latin Caribbean,BES,Bonaire,Americas,17408,3rd May 2016,28th April 2016,17,32,3
Deaths,Non Latin Caribbean,BES,Bonaire,Americas,17408,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,BES,Bonaire,Americas,17408,3rd May 2016,28th April 2016,17,32,0
Confirmed,South Cone,BRA,Brazil,Americas,206077898,3rd May 2016,28th April 2016,17,32,1034
Deaths,South Cone,BRA,Brazil,Americas,206077898,3rd May 2016,28th April 2016,17,32,3
Suspected,South Cone,BRA,Brazil,Americas,206077898,3rd May 2016,28th April 2016,17,32,91387
Confirmed,Andean,COL,Colombia,Americas,47791393,3rd May 2016,28th April 2016,17,32,3292
Deaths,Andean,COL,Colombia,Americas,47791393,3rd May 2016,28th April 2016,17,32,0
Suspected,Andean,COL,Colombia,Americas,47791393,3rd May 2016,28th April 2016,17,32,68660
Confirmed,Central America,CRI,Costa Rica,Americas,4757606,3rd May 2016,28th April 2016,17,32,11
Deaths,Central America,CRI,Costa Rica,Americas,4757606,3rd May 2016,28th April 2016,17,32,0
Suspected,Central America,CRI,Costa Rica,Americas,4757606,3rd May 2016,28th April 2016,17,32,0
Confirmed,Latin Caribbean,CUB,Cuba,Americas,11379111,3rd May 2016,28th April 2016,17,32,1
Deaths,Latin Caribbean,CUB,Cuba,Americas,11379111,3rd May 2016,28th April 2016,17,32,0
Suspected,Latin Caribbean,CUB,Cuba,Americas,11379111,3rd May 2016,28th April 2016,17,32,0
Confirmed,Non Latin Caribbean,CUW,Curaçao,Americas,155872,3rd May 2016,28th April 2016,17,32,73
Deaths,Non Latin Caribbean,CUW,Curaçao,Americas,155872,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,CUW,Curaçao,Americas,155872,3rd May 2016,28th April 2016,17,32,0
Confirmed,Non Latin Caribbean,DMA,Dominica,Americas,72341,3rd May 2016,28th April 2016,17,32,18
Deaths,Non Latin Caribbean,DMA,Dominica,Americas,72341,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,DMA,Dominica,Americas,72341,3rd May 2016,28th April 2016,17,32,43
Confirmed,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,3rd May 2016,28th April 2016,17,32,73
Deaths,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,3rd May 2016,28th April 2016,17,32,1
Suspected,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,3rd May 2016,28th April 2016,17,32,1674
Confirmed,Andean,ECU,Ecuador,Americas,15902916,3rd May 2016,28th April 2016,17,32,77
Deaths,Andean,ECU,Ecuador,Americas,15902916,3rd May 2016,28th April 2016,17,32,0
Suspected,Andean,ECU,Ecuador,Americas,15902916,3rd May 2016,28th April 2016,17,32,171
Confirmed,Central America,SLV,El Salvador,Americas,6107706,3rd May 2016,28th April 2016,17,32,46
Deaths,Central America,SLV,El Salvador,Americas,6107706,3rd May 2016,28th April 2016,17,32,0
Suspected,Central America,SLV,El Salvador,Americas,6107706,3rd May 2016,28th April 2016,17,32,11281
Confirmed,Latin Caribbean,GUF,French Guiana,Americas,237549,3rd May 2016,28th April 2016,17,32,483
Deaths,Latin Caribbean,GUF,French Guiana,Americas,237549,3rd May 2016,28th April 2016,17,32,0
Suspected,Latin Caribbean,GUF,French Guiana,Americas,237549,3rd May 2016,28th April 2016,17,32,4600
Confirmed,Latin Caribbean,GLP,Guadeloupe,Americas,404635,3rd May 2016,28th April 2016,17,32,306
Deaths,Latin Caribbean,GLP,Guadeloupe,Americas,404635,3rd May 2016,28th April 2016,17,32,0
Suspected,Latin Caribbean,GLP,Guadeloupe,Americas,404635,3rd May 2016,28th April 2016,17,32,1681
Confirmed,Central America,GTM,Guatemala,Americas,16015494,3rd May 2016,28th April 2016,17,32,261
Deaths,Central America,GTM,Guatemala,Americas,16015494,3rd May 2016,28th April 2016,17,32,0
Suspected,Central America,GTM,Guatemala,Americas,16015494,3rd May 2016,28th April 2016,17,32,915
Confirmed,Non Latin Caribbean,GUY,Guyana,Americas,763893,3rd May 2016,28th April 2016,17,32,6
Deaths,Non Latin Caribbean,GUY,Guyana,Americas,763893,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,GUY,Guyana,Americas,763893,3rd May 2016,28th April 2016,17,32,0
Confirmed,Latin Caribbean,HTI,Haiti,Americas,10572029,3rd May 2016,28th April 2016,17,32,5
Deaths,Latin Caribbean,HTI,Haiti,Americas,10572029,3rd May 2016,28th April 2016,17,32,0
Suspected,Latin Caribbean,HTI,Haiti,Americas,10572029,3rd May 2016,28th April 2016,17,32,1777
Confirmed,Central America,HND,Honduras,Americas,7961680,3rd May 2016,28th April 2016,17,32,2
Deaths,Central America,HND,Honduras,Americas,7961680,3rd May 2016,28th April 2016,17,32,0
Suspected,Central America,HND,Honduras,Americas,7961680,3rd May 2016,28th April 2016,17,32,18417
Confirmed,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,3rd May 2016,28th April 2016,17,32,8
Deaths,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,3rd May 2016,28th April 2016,17,32,646
Confirmed,Latin Caribbean,MTQ,Martinique,Americas,392291,3rd May 2016,28th April 2016,17,32,12
Deaths,Latin Caribbean,MTQ,Martinique,Americas,392291,3rd May 2016,28th April 2016,17,32,0
Suspected,Latin Caribbean,MTQ,Martinique,Americas,392291,3rd May 2016,28th April 2016,17,32,19400
Confirmed,North America,MEX,Mexico,Americas,125385833,3rd May 2016,28th April 2016,17,32,252
Deaths,North America,MEX,Mexico,Americas,125385833,3rd May 2016,28th April 2016,17,32,0
Suspected,North America,MEX,Mexico,Americas,125385833,3rd May 2016,28th April 2016,17,32,0
Confirmed,Central America,NIC,Nicaragua,Americas,6013913,3rd May 2016,28th April 2016,17,32,154
Deaths,Central America,NIC,Nicaragua,Americas,6013913,3rd May 2016,28th April 2016,17,32,0
Suspected,Central America,NIC,Nicaragua,Americas,6013913,3rd May 2016,28th April 2016,17,32,0
Confirmed,Central America,PAN,Panama,Americas,3867535,3rd May 2016,28th April 2016,17,32,220
Deaths,Central America,PAN,Panama,Americas,3867535,3rd May 2016,28th April 2016,17,32,0
Suspected,Central America,PAN,Panama,Americas,3867535,3rd May 2016,28th April 2016,17,32,0
Confirmed,South Cone,PRY,Paraguay,Americas,6552518,3rd May 2016,28th April 2016,17,32,7
Deaths,South Cone,PRY,Paraguay,Americas,6552518,3rd May 2016,28th April 2016,17,32,0
Suspected,South Cone,PRY,Paraguay,Americas,6552518,3rd May 2016,28th April 2016,17,32,102
Confirmed,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,3rd May 2016,28th April 2016,17,32,626
Deaths,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,3rd May 2016,28th April 2016,17,32,0
Suspected,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,3rd May 2016,28th April 2016,17,32,0
Confirmed,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,3rd May 2016,28th April 2016,17,32,2
Deaths,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,LCA,Saint Lucia,Americas,183645,3rd May 2016,28th April 2016,17,32,0
Confirmed,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,3rd May 2016,28th April 2016,17,32,1
Deaths,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,3rd May 2016,28th April 2016,17,32,0
Confirmed,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,3rd May 2016,28th April 2016,17,32,54
Deaths,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,3rd May 2016,28th April 2016,17,32,0
Suspected,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,3rd May 2016,28th April 2016,17,32,183
Confirmed,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,3rd May 2016,28th April 2016,17,32,7
Deaths,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,3rd May 2016,28th April 2016,17,32,0
Confirmed,Non Latin Caribbean,SUR,Suriname,Americas,538248,3rd May 2016,28th April 2016,17,32,527
Deaths,Non Latin Caribbean,SUR,Suriname,Americas,538248,3rd May 2016,28th April 2016,17,32,4
Suspected,Non Latin Caribbean,SUR,Suriname,Americas,538248,3rd May 2016,28th April 2016,17,32,3516
Confirmed,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,3rd May 2016,28th April 2016,17,32,16
Deaths,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,3rd May 2016,28th April 2016,17,32,0
Confirmed,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,3rd May 2016,28th April 2016,17,32,16
Deaths,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,3rd May 2016,28th April 2016,17,32,0
Suspected,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,3rd May 2016,28th April 2016,17,32,83
Confirmed,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,3rd May 2016,28th April 2016,17,32,352
Deaths,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,3rd May 2016,28th April 2016,17,32,1
Suspected,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,3rd May 2016,28th April 2016,17,32,31224
Confirmed,Non Latin Caribbean,ABW,Aruba,Americas,103441,10th May 2016,5th May 2016,18,33,17
Deaths,Non Latin Caribbean,ABW,Aruba,Americas,103441,10th May 2016,5th May 2016,18,33,0
Suspected,Non Latin Caribbean,ABW,Aruba,Americas,103441,10th May 2016,5th May 2016,18,33,0
Confirmed,Non Latin Caribbean,BRB,Barbados,Americas,283380,10th May 2016,5th May 2016,18,33,7
Deaths,Non Latin Caribbean,BRB,Barbados,Americas,283380,10th May 2016,5th May 2016,18,33,0
Suspected,Non Latin Caribbean,BRB,Barbados,Americas,283380,10th May 2016,5th May 2016,18,33,316
Confirmed,Central America,BLZ,Belize,Americas,351706,10th May 2016,5th May 2016,18,33,1
Deaths,Central America,BLZ,Belize,Americas,351706,10th May 2016,5th May 2016,18,33,0
Suspected,Central America,BLZ,Belize,Americas,351706,10th May 2016,5th May 2016,18,33,0
Confirmed,Andean,BOL,Bolivia,Americas,10561887,10th May 2016,5th May 2016,18,33,12
Deaths,Andean,BOL,Bolivia,Americas,10561887,10th May 2016,5th May 2016,18,33,0
Suspected,Andean,BOL,Bolivia,Americas,10561887,10th May 2016,5th May 2016,18,33,0
Confirmed,Non Latin Caribbean,BES,Bonaire,Americas,17408,10th May 2016,5th May 2016,18,33,3
Deaths,Non Latin Caribbean,BES,Bonaire,Americas,17408,10th May 2016,5th May 2016,18,33,0
Suspected,Non Latin Caribbean,BES,Bonaire,Americas,17408,10th May 2016,5th May 2016,18,33,0
Confirmed,South Cone,BRA,Brazil,Americas,206077898,10th May 2016,5th May 2016,18,33,1034
